TestName,TestStatus,FunctionalUnit,TestTime,FailedStep
Wimmer Solutions Test 1,Passed,SecureConnect DDA,2024-11-11T13:08:51.694921,
Wimmer Solutions Test 1,Failed,SecureConnect DDA,2024-11-11T13:09:21.945168,Navigate to Partners
